UID,Review_ID,Name,Rating,Text
23,5,Khalifullah,5,excellent.. thanks for delivering in quick time
23,6,Anila S.,5,I request for mint color in chat but received blue other wise good reasonable price
24,1,Qaiser M.,5,"""Recently acquired the Infinix Note 30 – impressed with its overall performance. The shipment exceeded expected delivery time, though there was a color discrepancy (ordered black, received gray). Will share detailed performance feedback after more use. Appreciate Daraz team for their service."""
24,2,Meerullah,5,Great phone and in same condition box packed sealed. Orrigional accessories. Everything is great but delivery was not good by leopard. They tell that delivery is not in that area.
24,3,Abdul G.,5,Mashallah phone Tu great ha budget friendly value for money packing company packing mei tha seal pack sound system JBL company Ka ha sound la Jawab ha 10/10 for seller and for phone 10/8
24,4,smawkm,5,thankyou Alhamdulillah trading co for delivering phone fast and on time. they delivered box packed genuine product. businesses like Alhamdulillah trading co are reason to trust ecommerce. keep up the good work. looking forward to do business again.
24,5,Meerullah,5,Great phone and in same condition box packed sealed. Orrigional accessories. Everything is great but delivery was not good by leopard. They tell that delivery is not in that area.
24,6,Muhammad A.,5,Asslaam u Alaikum & Thanks to seller after my order I received phone in 50/- Hrs very fast service of Daraz & Seller.I got phone in genuine condition.God bless u Brother
25,1,Ali C.,3,"Very disappointing. This phone is not 8 GB RAM as claimed. This is a 4GB + 4 GB expendable. The add should clearly state that truth. Also, it has a slow processor. an iPhone user will find it very slow. it is large screen phone. The back camera quality is good in day light but not very good in low light. Overall it is okay for the price it is being sold at. But the ad should clearly state the figures to avoid any disappointments."
25,2,anmolmushtaq,5,same mobile deliver hoa hai thanks 😊😊👍 I'm very happy......
25,3,inam,5,good quality nice phone I like it very much
25,4,Asif K.,5,v nice tnx daraz
25,5,3***6,5,looking good with back cover received ram here show 8gb but in mobile show 4 GB +4gb extendable other OK
25,6,arham B.,5,Good mobile recieve on time 🔥 work well💙 just youtube thora slow chl rha ha🌸 overall good🌜 recommended 💪 camera result is ok ok💪
26,1,bilal K.,5,i am using this mobile for 5 days now. best mobile for basic tasks like whatsapp call youtube etc. i received it on 11.11 sale at price 15k which is too good deal. everyone appriciate its look. working smooth and battery timing is too good. 👍
26,2,Muhammad U.,5,Amazing phone within the discounted price of #11.11 I would recommend everyone if you are looking to get the basics done alright and don’t want to spend too much this is the right choice. Quality is not cheap like other phones in this budget. However I do have one complaint as the phone down have a case in the box and no warranty card. #11.11
26,3,Muhammad U.,5,"Received Brand new box packed mobile. Quality Seems to be good. Performance is also fine. Excellent product, Original and value for Money."
26,4,Sarah,5,excellent mobile excellent service excellent response time to time thanks for everything recommended you all guys who are just thinking for buying..want to give 10 stars am so glad to have this beautiful product.
26,5,Muhammad U.,5,"Received Brand new box packed mobile. Quality Seems to be good. Performance is also fine. Excellent product, Original and value for Money."
26,6,3***6,5,Many thanks daraz team and same specs as in description and mobile is very well.. Its surprise gift to my mother and she is very happy after getting this 😍
28,1,inam U.,5,Thanx a lot OPPO Mobile Pakistan for quality product which i ordered & Daraz for in time delivery.
28,2,Saima N.,5,"I recently received my parcel from the official Oppo store, and while the phone itself is excellent and original, I was disappointed with the packaging. The box arrived damaged, and there were no bubble wrap or proper protection inside. However, I must commend the seller for their polite and reasonable behavior throughout the process. I hope they improve their packaging to ensure better protection for future shipments. #OnlineShopping #OppoStore #CustomerExperience"
28,3,3***2,5,Good Service.. Mobile recieved on time 👍
28,4,Hamad,5,zarbardat
28,5,S***.,5,Thanks Oppo Pakistan for your rapid response I'm also glad to have the same product that I have ordered. and special thanks to all the team of Daraz for being cooperative and responsive.
28,6,3***2,5,Good Service.. Mobile recieved on time 👍
